provider,Consumer complaint narrative,hidden_fees,late_fees,misleading_ads,credit_reporting,unauthorized,customer_service,billing_dispute
Affirm,I was charged a late fee after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,I was charged a penalty after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,I was charged a penalty after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a penalty after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose penalty.,False,True,True,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose hidden fee.,True,False,True,False,False,False,False
Affirm,I was charged a penalty after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Misleading advertisement from Affirm did not disclose late fee.,False,True,True,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Misleading advertisement from Affirm did not disclose hidden fee. My credit score was affected.,True,False,True,True,False,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,I was charged a penalty after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose hidden fee. My credit score was affected.,True,False,True,True,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose late fee. My credit score was affected.,False,True,True,True,False,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm. My credit score was affected.,True,False,False,True,False,False,False
Affirm,I was charged a interest after missing a payment with Affirm. My credit score was affected.,False,False,False,True,False,False,False
Affirm,I was charged a penalty after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Misleading advertisement from Affirm did not disclose penalty.,False,True,True,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,I was charged a interest after missing a payment with Affirm. My credit score was affected.,False,False,False,True,False,False,False
Affirm,I was charged a penalty after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose penalty.,False,True,True,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose late fee. My credit score was affected.,False,True,True,True,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose hidden fee.,True,False,True,False,False,False,False
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose hidden fee.,True,False,True,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose late fee.,False,True,True,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose penalty.,False,True,True,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a penalty after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Misleading advertisement from Affirm did not disclose hidden fee.,True,False,True,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,I was charged a penalty after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose penalty.,False,True,True,False,False,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm. My credit score was affected.,True,False,False,True,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose late fee.,False,True,True,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose penalty.,False,True,True,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose late fee.,False,True,True,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,I was charged a late fee after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,I was charged a penalty after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,I was charged a penalty after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,I was charged a late fee after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a penalty after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,I was charged a late fee after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm. My credit score was affected.,True,False,False,True,False,False,False
Affirm,I was charged a late fee after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,Misleading advertisement from Affirm did not disclose late fee.,False,True,True,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,I was charged a late fee after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm. My credit score was affected.,True,False,False,True,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a late fee after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,I was charged a late fee after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose penalty.,False,True,True,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Misleading advertisement from Affirm did not disclose late fee. My credit score was affected.,False,True,True,True,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a penalty after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose hidden fee. My credit score was affected.,True,False,True,True,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose late fee.,False,True,True,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Misleading advertisement from Affirm did not disclose late fee.,False,True,True,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose hidden fee. My credit score was affected.,True,False,True,True,False,False,False
Affirm,I was charged a late fee after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,I was charged a penalty after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose interest. My credit score was affected.,False,False,True,True,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,I was charged a penalty after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Misleading advertisement from Affirm did not disclose penalty.,False,True,True,False,False,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm. My credit score was affected.,True,False,False,True,False,False,False
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose penalty. My credit score was affected.,False,True,True,True,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose hidden fee. My credit score was affected.,True,False,True,True,False,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,I was charged a penalty after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose late fee.,False,True,True,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a late fee after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose penalty.,False,True,True,False,False,False,False
Affirm,Misleading advertisement from Affirm did not disclose hidden fee.,True,False,True,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose interest.,False,False,True,False,False,False,False
Affirm,I was charged a interest after missing a payment with Affirm.,False,False,False,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm. My credit score was affected.,True,False,False,True,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose hidden fee.,True,False,True,False,False,False,False
Affirm,I was charged a interest after missing a payment with Affirm. My credit score was affected.,False,False,False,True,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose penalty.,False,True,True,False,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Misleading advertisement from Affirm did not disclose late fee.,False,True,True,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a late fee after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Customer service at Affirm would not resolve my billing dispute. My credit score was affected.,False,False,False,True,False,True,True
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,I was charged a late fee after missing a payment with Affirm.,False,True,False,False,False,False,False
Affirm,I was charged a penalty after missing a payment with Affirm. My credit score was affected.,False,True,False,True,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,Customer service at Affirm would not resolve my billing dispute.,False,False,False,False,False,True,True
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm. My credit score was affected.,True,False,False,True,False,False,False
Affirm,Unauthorized charge on my account related to Affirm.,False,False,False,False,True,False,False
Affirm,I was charged a hidden fee after missing a payment with Affirm.,True,False,False,False,False,False,False
Affirm,Unauthorized charge on my account related to Affirm. My credit score was affected.,False,False,False,True,True,False,False
Affirm,Misleading advertisement from Affirm did not disclose penalty.,False,True,True,False,False,False,False
